IE_XML_ID;IE_NAME;CV_PRICE_1
3774;Motorola GM140;0.00
3775;Motorola GM160;0.00
3776;Motorola GM340;0.00
3777;Motorola GM360;0.00
3778;Motorola GM380;0.00
3779;Motorola GM640;0.00
3780;Motorola GM660;0.00
3781;Motorola GM1280;0.00
3782;ЕРМАК Р350 / 660;0.00
3793;Vertex Standard EVX-5300;0.00
3794;Vertex Standard EVX-5400;0.00
3795;Vertex Standard EVX-531;0.00
3796;Vertex Standard EVX-534;0.00
3797;Vertex Standard EVX-539;0.00
3798;Vertex Standard EVX-R70;0.00
3799;Vertex Standard VXD-R70;0.00
3802;Vertex Standard VX-4600;0.00
3803;Vertex Standard VX-4500;0.00
3804;Vertex Standard VX-459 ;0.00
3805;Vertex Standard VX-454;0.00
3806;Vertex Standard VX-451;0.00
3807;Vertex Standard VX-231;0.00
3808;Vertex Standard VXR-7000;0.00
3809;Vertex Standard VXR-9000;0.00
3810;Vertex Standard VX-417;0.00
3811;Vertex Standard VX-2200 ;0.00
3812;Vertex Standard VX-2100;0.00
3813;Vertex Standard VX-929E;0.00
3814;Vertex Standard VX-924E;0.00
3815;Vertex Standard VX-921E;0.00
3816;Vertex Standard VX-829E;0.00
3817;Vertex Standard VX-824E;0.00
3818;Vertex Standard VX-821E;0.00
3819;Vertex Standard VX-354;0.00
3820;Vertex Standard VX-351;0.00
3823;Vector VT-44 PRO;163.20
3824;Vector VT-44 Combat;0.00
3825;Vector VT-43 R2;0.00
3826;Vector Intek DRS-5570;0.00
3827;Vector VT-48 GT;0.00
3828;Vector VT-48 W;0.00
3829;Vector VT-47 SPORT;0.00
3830;Vector VT-47 M2;0.00
3831;Vector VT-47 PILOT;0.00
3832;Vector VT-47 ULTRA;0.00
3833;Vector VT-44 Master;0.00
3834;Vector VT-44 HS;66.30
3835;Vector VT-44 H;92.82
3836;Vector VT-44 STD;0.00
3837;Vector VT-44 Military #01;0.00
3838;Vector VT-44 Military #03;147.90
3839;Vector VT-44 Military Special;0.00
3840;Yealink SIP-T18P;0.00
3842;Yealink SIP-T19;0.00
3843;Yealink SIP-T19P;0.00
3844;Yealink SIP-T20;0.00
3845;Yealink SIP-T20P;0.00
3846;Yealink SIP-T21;0.00
3847;Yealink SIP-T21P;0.00
3848;Yealink SIP-T22P;0.00
3849;Yealink SIP-T26P;0.00
3850;Yealink SIP-T28P;0.00
3851;Yealink SIP-T32G;0.00
3852;Yealink SIP-T38G;0.00
3853;Yealink SIP-T41P;0.00
3854;Yealink SIP-T42G;0.00
3855;Yealink SIP-T46G;0.00
3856;Yealink W52H;5772.00
3857;Yealink W52P;8190.00
3858;Yealink VP530;0.00
3860;Yeastar MyPBX U520;0.00
3865;Yeastar MyPBX U510;0.00
3866;Yeastar MyPBX U500;0.00
3867;Yeastar MyPBX U300;0.00
3868;Yeastar MyPBX U200;0.00
3869;Yeastar MyPBX U100;0.00
3870;Yeastar MyPBX Standard;0.00
3871;Yeastar MyPBX SOHO;0.00
3872;Yeastar O2;78.00
3873;Yeastar S2;78.00
3874;Yeastar SO;91.00
3875;Yeastar GSM;164.00
3876;Yeastar UMTS;267.00
3877;Yeastar B2;191.00
3880;Yealink YHS32;0.00
3881;Mairdi MRD-308S;0.00
3882;Mairdi MRD-308DS;0.00
3883;Mairdi MRD-509S;0.00
3884;Mairdi MRD-509DS;0.00
3885;Mairdi MRD-510S;0.00
3886;Mairdi MRD-510DS;0.00
3887;Mairdi MRD-512S;0.00
3888;Mairdi MRD-512DS;0.00
3889;Mairdi MRD-609;0.00
3891;Mairdi MRD-609D;0.00
3892;Mairdi MRD-QD002;0.00
3893;Mairdi MRD-QD002(A);0.00
3894;Mairdi MRD-QD005;0.00
3895;Mairdi MRD-QD005;0.00
3896;Mairdi MRD-QD012;0.00
3897;Mairdi MRD-USB001;0.00
3898;Mairdi MRD-QD011;0.00
3911;Motorola MDRMN4028;0.00
3912;Motorola HMN9727;0.00
3913;Motorola BDN6667;0.00
3914;Motorola MDPMMN4009;0.00
3915;Motorola MDPMLN4556;0.00
3916;Motorola MDRMN5037;0.00
3917;Motorola MDPMMN4021;0.00
3918;Motorola MDPMMN4027;0.00
3919;Motorola MDRMN4031;0.00
3920;Motorola MDRMN4018;0.00
3921;Motorola ENMN4012;0.00
3922;Motorola MDPMLN4653;0.00
3923;Motorola PMLN4605;1455.20
3924;Motorola MDRMN4029;0.00
3925;Motorola MDRMN4021;0.00
3926;Motorola MDPMLN4519;0.00
3927;Motorola HNN4003;0.00
3928;Motorola HNN4002;0.00
3929;Motorola HNN4001;0.00
3930;Motorola HNN9013;0.00
3931;Motorola HNN9012;0.00
3932;Motorola HNN9011;0.00
3933;Motorola HNN9010;0.00
3934;Motorola HNN9009;4547.50
3935;Motorola HNN9008;3819.90
3936;Motorola EN1009;0.00
3937;Motorola EN1008;0.00
3938;Motorola EN1007;0.00
3939;Motorola EN1006;0.00
3940;Motorola WPLN418;0.00
3941;Motorola MDHTN3001;0.00
3942;Motorola WPLN4194;90859.05
3943;Motorola WPLN4189;60481.75
3944;Motorola HLN9952;0.00
3945;Motorola HLN9689;0.00
3946;Motorola HLN9665;0.00
3947;Motorola PMLN4471;0.00
3948;Motorola PMLN4421;0.00
3949;Motorola PMLN4470 N;0.00
3950;Motorola PMMN4056;0.00
3951;Motorola PMMN4055;0.00
3952;Motorola PMLN5154;0.00
3953;Motorola PMLN5152;0.00
3954;Motorola PMLN5151;0.00
3955;Motorola GMMN1111;0.00
3956;Motorola NNTN5510;17189.55
3957;Motorola GMLN1111;0.00
3958;Motorola GMLN1110;0.00
3959;Motorola GMLN1113;0.00
3960;Motorola GMLN1112;0.00
3961;Motorola GLN7318;5457.00
3962;Motorola GLN7326;9549.75
3964;Motorola HSN8145;2836.73
3965;Motorola GKN6266;0.00
3966;Motorola GPN6145;0.00
3967;Motorola GLN7324;0.00
3968;Yealink BT40;3159.00
3969;Yealink RT10;0.00
3970;Yealink EXP40;11513.00
3971;Yealink EXP39;4836.00
3972;Yealink EXP38;0.00
3978;Yaesu FT-1802M / FT-1807M;0.00
3979;Yaesu FT-2800M;0.00
3980;Yaesu FT-7800R;0.00
3981;Yaesu FT-7900R;0.00
3983;Yaesu FT-8900R;0.00
3984;Yaesu FTM-10R;0.00
3989;Yaesu VX-8R;0.00
3990;Yaesu VX-110;0.00
3991;Yaesu VX-150;0.00
3992;Yaesu VX-120;0.00
3993;Yaesu VX-170 / VX-177;0.00
3994;Yaesu VX-6R;21075.00
3995;Yaesu VX-7R;0.00
3997;Yaesu FT-950;0.00
3998;Yaesu FT-817;0.00
3999;Yaesu FT-857;0.00
4000;Yaesu FT-897D;0.00
4001;Yaesu FT-2000;0.00
4002;Yaesu FT-450D;0.00
4003;Yaesu FT DX 9000;0.00
4007;Yaesu FT-252;0.00
4008;Yaesu FT-1900R;0.00
4009;Yaesu FT-1907;0.00
4010;Yaesu VX-3R;0.00
4012;Радиал A0 UHF;0.00
4013;Радиал A6 UHF;21910.00
4014;Радиал A10 UHF;0.00
4015;Радиал D1 UHF;6129.00
4016;Радиал D2 UHF;14660.00
4017;Радиал D4 UHF;28670.00
4018;Радиал DP1 UHF;0.00
4019;Радиал DP2 UHF;10633.00
4020;Радиал DP4 UHF;22129.00
4021;Радиал DM4 UHF;0.00
4022;Радиал D8 UHF;63620.00
4023;Радиал А0 VHF;0.00
4024;Радиал A5-UHF;0.00
4025;Радиал A7 VHF;12750.00
4026;Радиал D1 VHF;6396.00
4027;Радиал D2 VHF;17350.00
4028;Радиал D4 VHF;36300.00
4029;Радиал D8 VHF;79300.00
4030;Радиал F1 VHF;15900.00
4031;Радиал F2 VHF;22900.00
4033;Fanvil F52;0.00
4034;Fanvil D900;0.00
4035;Fanvil C01;0.00
4036;Fanvil C66;0.00
4037;Fanvil D800;0.00
4039;Grandstream GXP2160;155.00
4040;Grandstream GXP2140;129.00
4041;Grandstream GXP1160;0.00
4042;Grandstream GXP1165;0.00
4043;Grandstream GXP2200;0.00
4046;Grandstream GXV-3175 v2;0.00
4048;Kenwood TK-3000M;176.00
4049;Kenwood TK-2000M;176.00
4050;Kenwood TK-3301E;0.00
4051;Kenwood TK-3407M2;161.00
4052;Kenwood TK-3406M2;230.00
4053;Kenwood TK-2407M;161.00
4054;Kenwood TK-3307M2;0.00
4055;Fanvil C56;0.00
4056;Fanvil C58;0.00
4069;Alinco DR-135T MKIII;28500.00
4070;Alinco DR-135FX;23500.00
4071;Alinco DR-135LH;31000.00
4074;Kenwood TK-2307;0.00
4075;Kenwood TK-3317M2;253.00
4076;Kenwood TK-2406M;230.00
4077;Kenwood TK-2317M;253.00
4078;Kenwood TK-3360M;265.00
4080;Alinco DR-635T;51000.00
4081;Alinco DR-135CB;0.00
4082;Fanvil C62;0.00
4084;Fanvil D100;0.00
4085;Fanvil HT101;0.00
4087;Fanvil F52P;0.00
4088;Fanvil C56P;0.00
4089;Fanvil C58P;0.00
4090;Fanvil C10;0.00
4091;Grandstream UCM6102;0.00
4092;Kenwood TK-2360M;265.00
4093;Kenwood TK-3306NM;0.00
4094;Kenwood TK-2306;0.00
4095;Kenwood TK-3212M;210.00
4096;Grandstream UCM6104;412.80
4097;Kenwood TK-2212;0.00
4098;Kenwood TK-3180E;0.00
4099;Grandstream UCM6108;700.92
4100;Grandstream GXV-3140 v2;0.00
4101;Grandstream GXP-2124 v2;0.00
4102;Grandstream DP-715;0.00
4103;Kenwood TK-2180E;0.00
4105;Kenwood TK-280K;235.00
4106;Kenwood TK-2140;0.00
4126;Escene ES620-PE;0.00
4127;Escene ES410-PE;0.00
4128;Escene ES330-PEN;99.50
4129;Escene ES320-N;0.00
4130;Escene ES320-PN;0.00
4131;Escene ES292-N;0.00
4132;Escene ES292-PN;0.00
4133;Escene ES290-N;0.00
4134;Escene ES290-PN;0.00
4135;Escene ES220-N;0.00
4136;Escene ES220-PN;0.00
4137;Escene US102-YN;0.00
4138;Escene US102-PYN;0.00
4139;Escene CC800-N;47.20
4140;Escene CC800-PN;0.00
4141;Escene GS330-P;0.00
4142;Escene GS320-P;0.00
4145;Escene WS290-N;0.00
4146;Escene ESM 32;70.00
4147;Escene AD200;0.00
4148;Escene AD300;0.00
4150;Roger KP-14;0.00
4164;Roger KP-15;0.00
4166;Roger KP-16;0.00
4168;Roger KP-23;0.00
4170;Roger KP-47;0.00
4171;Roger KP-55;0.00
4173;Roger KP-60;0.00
4191;Yealink SIP-T48G;0.00
4207;Yaesu FTDX 3000D;0.00
4211;Yaesu FTDX 1200;0.00
4228;Yaesu MTU-80/40;0.00
4229;Yaesu MTU 30/20;0.00
4236;Ajetrays AR-440;0.00
4239;Ajetrays AJ-144;0.00
4244;Hytera X1e G;0.00
4248;Hytera PD505 VHF;378.00
4249;Hytera PD605 G (MD);571.00
4252;Ajetrays AJ-344V;0.00
4253;Ajetrays AJ-446;6240.00
4254;Ajetrays AJ-447;5020.00
4255;Ajetrays AJ-434;0.00
4256;Ajetrays AJ-450;0.00
4257;Ajetrays AJ-444;0.00
4258;Ajetrays AJ-344U;0.00
4259;Ajetrays AJBP-144L;0.00
4262;Hytera RD625;0.00
4263;Hytera RD985;2617.00
4266;Panasonic KX-NT321RU;0.00
4267;Panasonic KX-NT400RU;39150.00
4268;Panasonic KX-NT366RU;0.00
4269;Panasonic KX-NT346RU;0.00
4271;Panasonic KX-NT343RU;0.00
4273;Panasonic KX-NT700;0.00
4274;Panasonic KX-NT305X;6651.00
4289;Milesight MS-C3366-VP;0.00
4291;Milesight MS-C2662-FP;0.00
4292;Milesight MS-C3372-VP;74.00
4293;Milesight MS-C2681-P;0.00
4294;Milesight MS-C3681-P;0.00
4295;Milesight MS-C3682-P;0.00
4296;Milesight MS-C2682-P;0.00
4297;Milesight MS-C2663-P;50.00
4298;Milesight MS-C3367-P;0.00
4307;Panasonic KX-NCP1000RU;0.00
4308;Panasonic KX-NCP500RU;0.00
4309;Panasonic KX-TDE100RU;0.00
4310;Panasonic KX-TDE200RU;0.00
4312;Panasonic KX-TDE600RU;230334.00
4313;Panasonic KX-UT113RU-B;0.00
4316;Panasonic KX-UT123RU-B;0.00
4317;Panasonic KX-UT133RU-B;0.00
4318;Panasonic KX-UT136RU-B;0.00
4319;Panasonic KX-UT248RU-B;0.00
4321;Panasonic KX-UT670RU;0.00
4329;Ajetrays AJ-150;0.00
4331;АРГУТ А-23 NEW;7370.00
4332;АРГУТ А-24 NEW;0.00
4333;АРГУТ А-41 NEW;8800.00
4334;АРГУТ А-43;6545.00
4335;АРГУТ А-44;0.00
4336;АРГУТ А-45;0.00
4337;АРГУТ А-53;0.00
4338;АРГУТ А-54;9350.00
4339;АРГУТ А-75;0.00
4342;Midland G6XT;0.00
4343;Midland GXT 650;0.00
4344;Midland GXT 900;0.00
4345;Midland GXT-1050;0.00
4346;Midland G-3;0.00
4347;Midland G-10;0.00
4348;Midland G-14;0.00
4353;Panasonic BL-VP101E;0.00
4355;Panasonic BL-VP104E;0.00
4356;Panasonic BL-VP104WE;0.00
4357;Panasonic WV-SP102E;0.00
4360;Panasonic WV-SP105E;0.00
4361;Panasonic WV-NP502E;0.00
4362;Panasonic WV-SP302E;0.00
4363;Panasonic WV-SP305E;0.00
4377;Panasonic WV-SP306E;0.00
4378;Panasonic WV-SP508E;0.00
4379;Panasonic WV-SP509E;0.00
4380;Panasonic WV-SW316E;0.00
4381;Panasonic WV-SW316LE;0.00
4382;Panasonic WV-NW502SE;0.00
4383;Panasonic WV-SF132E;0.00
4384;Panasonic WV-SF135E;0.00
4385;Panasonic WV-SF138;0.00
4386;Panasonic WV-SF332E;0.00
4387;Panasonic WV-SF335E;0.00
4388;Panasonic WV-SF336E;0.00
4389;Panasonic WV-SF342E;0.00
4390;Panasonic WV-SF346E;0.00
4391;Panasonic WV-SF438E;0.00
4392;Panasonic WV-SF448E;0.00
4393;Panasonic WV-SF538E;0.00
4394;Panasonic WV-SF539E;0.00
4395;Panasonic WV-SFN631L;0.00
4398;Panasonic WV-SFN611L;0.00
4400;Panasonic WV-SF548E;0.00
4401;Panasonic WV-SF549E;0.00
4402;Panasonic WV-SFR631L;0.00
4403;Panasonic WV-SFR611L;0.00
4404;Panasonic WV-SW152E;0.00
4405;Panasonic WV-SW155E;0.00
4406;Panasonic WV-SW158;0.00
4407;Panasonic WV-SW115;0.00
4408;Panasonic WV-SW352E;0.00
4409;Panasonic WV-SW355E;0.00
4410;Panasonic WV-SW458E;0.00
4411;Panasonic WV-SW458ME;0.00
4412;Panasonic WV-SW558E;0.00
4413;Panasonic WV-SW559E;0.00
4414;Panasonic WV-SFV631L;0.00
4415;Panasonic WV-SFV611L;0.00
4420;Panasonic WV-ST162E;0.00
4421;Panasonic WV-ST165E;0.00
4424;Panasonic WV-SW172E;0.00
4425;Panasonic WV-SW175E;0.00
4426;Panasonic WV-SW174WE;0.00
4427;Panasonic BL-VT164E;0.00
4429;Panasonic WV-SC384E;0.00
4430;Panasonic WV-SC385E;0.00
4431;Panasonic WV-SC386E;0.00
4432;Panasonic WV-SC588;0.00
4433;Panasonic WV-SW395E;0.00
4435;Panasonic WV-SW395AE;0.00
4436;Panasonic WV-SW396E;0.00
4437;Panasonic WV-SW396AE;0.00
4438;Panasonic WV-SW598;0.00
4477;D-Link DPH-400S/E/F1;0.00
4478;D-Link DPH-150S/F2;0.00
4480;D-Link DPH-150SE/F2;0.00
4481;D-Link DPH-150SE/F3;0.00
4482;D-Link DPH-400S/E/F3;74.24
4483;D-Link DPH-400SE/E/F2;77.29
4484;D-Link DPH-400SE/E/F3;94.58
4523;AudioCodes 310HD (HDEPS);0.00
4525;AudioCodes 320HD (HDEPS);0.00
4530;Snom 300;0.00
4531;Snom 320;0.00
4532;Snom 370;0.00
4533;Snom 710;0.00
4534;Snom 720;0.00
4535;Snom 760;0.00
4536;Snom 821;0.00
4537;Snom 870;0.00
4538;Snom UC600;0.00
4539;Snom Meeting Point;1014.00
4540;Snom M9;0.00
4541;Snom m9 Handset;0.00
4542;Snom HS-MM2;0.00
4544;Snom Keypad;0.00
4545;Snom Vision;0.00
4546;Snom Microphones;201.00
4547;Snom PA-1;0.00
4550;AudioCodes 310HD (HDPS);0.00
4551;AudioCodes 310HD (HDE);0.00
4552;AudioCodes 320HD (HDE);0.00
4553;AudioCodes 320HD (HDPS);0.00
4554;AudioCodes 420HD (HDEPS);0.00
4555;AudioCodes 420HD (HDE);0.00
4556;AudioCodes 420HD (HDPS);0.00
4557;AudioCodes 430HD (HDEPS);0.00
4558;AudioCodes 430HD (HDEPSG);0.00
4559;AudioCodes 430HD (HDEG);0.00
4560;AudioCodes 430HD (HDE);0.00
4561;AudioCodes 440HD (HDEG);0.00
4562;AudioCodes 440HD (HDEPSG);0.00
4563;Panasonic BL-VT164WE;0.00
4564;Alinco DR-435T;28500.00
4565;Alinco DR-M06R;28500.00
4566;Alinco DJ-175;0.00
4568;Hytera TC-320;0.00
4569;Hytera TC-508;0.00
4570;Hytera TC-518;0.00
4571;Hytera TC-580;0.00
4572;Hytera TC-700;0.00
4573;Hytera TM-600;0.00
4574;Hytera TR-800;0.00
4575;Alinco DJ-C7;0.00
4576;Hytera AN0410H20;0.00
4577;Hytera AN0433H01;0.00
4578;Hytera AN0460H10;0.00
4579;Hytera PS0601;0.00
4580;Hytera PV1001;0.00
4581;Hytera PS4001;0.00
4582;Hytera CH05L01;0.00
4583;Hytera EHS12;0.00
4584;Hytera EHS09;0.00
4585;Hytera BL1715;0.00
4586;Hytera RO01;0.00
4587;Hytera PCN003;0.00
4588;Hytera BC16;0.00
4589;Hytera PC30;0.00
4590;Hytera ТС320/TC518 ПО;0.00
4591;Hytera AN0160H11;0.00
4592;Hytera AN0425H01;0.00
4593;Hytera AN0455H02;0.00
4594;Hytera AN0136H02;0.00
4595;Hytera AN0400W01;0.00
4596;Hytera BL1719;0.00
4597;Hytera BL1301;0.00
4598;Hytera CH10L19;0.00
4599;Hytera PS1018;14.00
4600;Hytera CHV09;50.00
4601;Hytera PS7002;0.00
4602;Hytera EHM15;21.00
4603;Hytera ESM12;17.00
4604;Hytera EAM12;25.00
4605;Hytera EAM13;26.00
4606;Hytera EAM15;0.00
4607;Hytera SM08M3;28.00
4608;Hytera ESS07;0.00
4609;Hytera ESS08;0.00
4610;Hytera LCYY02;0.00
4611;Hytera NCN001;0.00
4612;Hytera BC12;0.00
4613;Hytera RO03;0.00
4614;Hytera PC19;0.00
4615;Hytera PC26;0.00
4616;Hytera ТС508 ПО;0.00
4623;Hytera LCBN13;35.00
4624;Hytera TC580 ПО;0.00
4625;Hytera CH10L07;0.00
4626;Hytera EWM03;0.00
4628;Hytera LCBN41;0.00
4629;Hytera LCBN42;0.00
4630;Hytera NCN002;0.00
4631;Hytera RO04;0.00
4632;Hytera BC08;0.00
4633;Hytera BC09;0.00
4634;Hytera MCA03;0.00
4635;Hytera TC700 ПО;0.00
4636;Hytera BL1703;0.00
4637;Hytera BL2102;0.00
4638;Hytera BH1801;0.00
4646;Hytera PD705 (MD);580.00
4647;Hytera PD705;547.00
4665;Grandstream GXV3240;230.00
4668;Hytera PD785;698.00
4676;Motorola MBP11;0.00
4677;Motorola MBP16;0.00
4678;Motorola MBP28;0.00
4679;Motorola MBP28-2;0.00
4680;Motorola MBP33;0.00
4681;Motorola MBP36;0.00
4682;Motorola MBP26;0.00
4683;Motorola MBP41;0.00
4684;Motorola MBP43;0.00
4685;Hytera SM11R1;0.00
4686;Hytera SM07R2;0.00
4687;Hytera SM07R1;0.00
4688;Hytera SM10R2;0.00
4689;Hytera SM09S2;75.00
4690;Hytera BRK04;0.00
4691;Hytera PWC06;0.00
4692;Hytera POA15;0.00
4693;Hytera PC21;0.00
4694;Hytera TM600 ПО;0.00
4695;Hytera CP09;0.00
4699;Hytera X1e G (MD);0.00
4700;Hytera X1p G (MD);1081.00
4702;Hytera PWC03;0.00
4703;Hytera PWC04;0.00
4704;Hytera TR800 ПО;0.00
4706;AudioCodes MP112/2S/SIP;0.00
4707;AudioCodes MP114/4S/SIP;0.00
4708;AudioCodes MP114/2S/2O/SIP;0.00
4709;AudioCodes MP114/4O/SIP;0.00
4710;AudioCodes MP118/8S/SIP;0.00
4711;AudioCodes MP118/4S/4O/SIP;0.00
4712;AudioCodes MP118/8O/SIP;0.00
4713;AudioCodes MP124/16S/AC/SIP;0.00
4714;AudioCodes MP124/24S/AC/SIP;0.00
4721;AudioCodes M600/1Span;0.00
4722;AudioCodes M600/2Span;0.00
4723;AudioCodes M600/1Span/FS;0.00
4724;AudioCodes M600/1Span/FB;0.00
4725;AudioCodes M1K-D1;0.00
4726;AudioCodes M1K-D2;0.00
4727;AudioCodes M1K-D3;0.00
4728;AudioCodes M2K-D1;0.00
4729;AudioCodes M2K-D2;0.00
4730;AudioCodes M2K-D3;0.00
4731;AudioCodes M2K-D4;0.00
4732;AudioCodes M2K-D5;0.00
4733;Hytera PD795Ex G (MD);1612.00
4735;Hytera AN0141H03;0.00
4736;Hytera AN0153H04;0.00
4737;Hytera AN0167H03;0.00
4738;Hytera AN0435H04;0.00
4739;Hytera AN0155H02;0.00
4740;Hytera AN0155H04;0.00
4741;Hytera BC19;0.00
4742;Hytera LCY003;31.00
4743;Hytera LCY006;31.00
4744;Hytera CH10A07;25.00
4745;Hytera CH10A06;49.00
4746;Hytera MCA06;0.00
4747;Hytera MCA05;1388.00
4748;Hytera MCA08;306.00
4749;Hytera BRK20;0.00
4752;Digium G200F;0.00
4754;Matrix EON48;0.00
4755;Matrix SETU VP248PE;0.00
4756;Matrix SETU VP248SE;0.00
4759;Matrix EONSOFT;0.00
4761;Alinco DJ-G7;39000.00
4764;Alinco DJ-S45TA;0.00
4765;D-Link DVG-2024S;0.00
4766;D-Link DVG-2032S/16CO/C1A;0.00
4767;D-Link DVG-3016S;0.00
4768;D-Link DVG-3032S;0.00
4769;D-Link DVG-5004S;0.00
4770;D-Link DVG-5008S;0.00
4771;Digium;0.00
4772;Digium G100F;0.00
4773;Digium G400F;0.00
4774;Digium G800F;0.00
4781;D-Link DVG-5112S;0.00
4782;D-Link DVG-6004S;210.06
4783;D-Link DVG-6008S;0.00
4784;D-Link DVG-7022S;0.00
4785;D-Link DVG-7044S;0.00
4786;D-Link DVG-7062S;0.00
4787;D-Link DVG-7111S;63.65
4788;Yeastar NeoGate TE100;663.00
4789;Yeastar NeoGate TB400;453.00
4790;Yeastar NeoGate TG200;252.00
4791;Alinco DJ-S45CQ;0.00
4792;Yeastar NeoGate TG400;451.00
4793;Yeastar NeoGate TG800;889.00
4794;Yeastar NeoGate TG100;133.00
4802;Hytera RD965;0.00
4803;Hytera AN0460M03;0.00
4804;Hytera AN0144M05;0.00
4805;Hytera PV3001;1530.00
4806;Hytera PS7502;0.00
4807;Hytera SM18A1;0.00
4808;Hytera NCN010;19.00
4809;Hytera BRK17;0.00
4811;Hytera POA45;68.00
4812;Hytera PC37;33.00
4813;Hytera PC47;39.00
4814;Alinco DJ-V17;0.00
4815;Hytera PC49;33.00
4816;Hytera BC00005;51.00
4817;Hytera DT20;0.00
4818;Hytera DT18;0.00
4820;Alinco DJ-V17L;0.00
4823;Digium D40;0.00
4824;Digium D45;0.00
4825;Digium D50;0.00
4826;Digium D70;0.00
4828;Радиал DPR5-4V;58307.00
4829;Радиал DPR5-6V;90867.00
4839;Радиал DPR4-4V;58000.00
4840;Радиал DPR4-6V;85041.00
4841;Радиал DPRE4-4V;45405.00
4842;Радиал DPRE4-6V;67410.00
4843;Радиал DPRE4-6-2m;45862.00
4844;Радиал DPR8-4V;79750.00
4845;Радиал DPR8-6V;116498.00
4846;Радиал DPR4-4U;52053.00
4847;Радиал DPR8-4U;68019.00
4848;Радиал DPRE5-4VL;48810.00
4849;Радиал DPRE5-4VH;48810.00
4850;Радиал DPRE5-6VL;72052.00
4851;Радиал DPRE5-6VH;72052.00
4852;Радиал DPRE4-4UL;46171.00
4853;Радиал DPRE4-4UM;46171.00
4854;Радиал DPRE4-4UH;46171.00
4855;Радиал DPRE4-6UL;69284.00
4856;Радиал DPRE4-6UM;69284.00
4857;Радиал DPRE4-6UH;69284.00
4858;Радиал DPF5-3V;38950.00
4859;Радиал DPF5-4V;50420.00
4860;Радиал DPF5-6V;72540.00
4861;Радиал DPF8-4V;68623.00
4862;Радиал DPF8-6V;100296.00
4863;Радиал DPF4-4U;47001.00
4864;Радиал DPF4-6U;69424.00
4867;АГАТ UX-5111;46800.00
4868;АГАТ UX-5110/FXO4;25700.00
4869;Alinco DJ-V47;0.00
4870;Hytera PC40;30.00
4871;Hytera PWC11;31.00
4872;Hytera PS22002 (L);266.00
4874;Hytera SM16A1;47.00
4875;Hytera SM16A2;63.00
4876;Hytera SM10A1;72.00
4877;Hytera BRK09;57.00
4878;Hytera BRK16;84.00
4879;Hytera BRK12;57.00
4880;Hytera BRK14;57.00
4881;Hytera BRK19;62.00
4882;Радиал DPS5-4V;50693.00
4883;Радиал DPS5-6V;74335.00
4884;Радиал DPS8-4V;68950.00
4885;Радиал DPS8-6V;102900.00
4886;Радиал DPS4-6U;70000.00
4887;Радиал DPS2-12U;42063.00
4888;Радиал DPS2-12V;52427.00
4889;Alinco DJ-V57;20500.00
4890;Радиал MDF2-6V2/4,5;22008.00
4891;Радиал MDF2-6V1/2;22008.00
4892;Радиал MDF2-6V(M)2/4,5;23405.00
4893;Радиал DPS2-6VM;28481.00
4894;Радиал MDF1-6VM;12905.00
4895;Радиал MDF1-6VL4.5/6;12905.00
4896;Радиал MDF1-6VL6/8;12905.00
