IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE
13155;Icom IC-FR5000C;/upload/iblock/f68/icom-ic_fr5000c.jpg
13157;Icom IC-FR6000C;/upload/iblock/cec/icom-ic_fr5000c.jpg
13201;Ajetrays GR8600;/upload/iblock/b6b/bez-nazvaniya.jpg
13335;Motorola SLR 1000;/upload/iblock/76e/004.jpg
13480;Yaesu DR-1X;/upload/iblock/315/dr_1x.jpg
13481;Yaesu DR-2X ;/upload/iblock/bc5/dr_2x.jpg
13942;Alinco RS-D7;/upload/iblock/ed2/rs_d7_1.jpg
13943;Alinco RS-D8;/upload/iblock/4db/rs_d8_1.jpg
14033;Бизон KR100 50 Вт;/upload/iblock/a17/kr100_2.png
14509;Caltta PR900;/upload/iblock/cc6/caltta-pr900.jpg
14511;Caltta PR800;/upload/iblock/fd1/caltta-pr800.jpg
14709;Motorola SLR 5500 300-360 МГц;/upload/iblock/d16/motorola-slr_5500.jpg
14710;Motorola SLR 5500 403-470 МГц;/upload/iblock/873/motorola-slr-5500.jpg
14720;Комбат T-440R DMR;/upload/iblock/1b1/kombat-t440r.jpg
14722;Комбат Т-340R;/upload/iblock/9ca/kombat-t_340r.jpg
14841;Racio RD1000;/upload/iblock/cfd/retranslyator-racio-rd1000.jpg
15286;Бизон KR100P;/upload/iblock/5c5/bizon-kr100p.jpg
15290;Бизон KR100DS VHF/UHF;/upload/iblock/00c/bizon-kr100ds.jpg
15291;Бизон KR100 25В;/upload/iblock/c84/bizon-kr100-25v.jpg
15332;Vostok DR-600 DMR;/upload/iblock/bad/vostok-dr_600-dmr-tier_2.jpg
15333;Vostok RT-10;/upload/iblock/3e8/vostok-rt_10.jpg
15393;Терек РТ-2800;/upload/iblock/3ce/terek-rt_2800.jpg
15395;Терек РТ-9100;/upload/iblock/dd6/terek-rt_9100.jpg
15432;Аргут DR50-DMR VHF;/upload/iblock/01d/argut-dr50_dmr-vhf.png
15434;Аргут DR50-DMR UHF;/upload/iblock/b09/argut-dr50_dmr-uhf.png
17250;Hytera RD985S 100W;/upload/iblock/d29/Hytera-RD985S-100W.JPG
3860;Yeastar MyPBX U520;/upload/iblock/057/057b7eac8464b1c5523e89b0fc19e2d7.jpg
3865;Yeastar MyPBX U510;/upload/iblock/dc9/dc9b9f8d37568eea790080f3cc40f7d6.jpg
3866;Yeastar MyPBX U500;/upload/iblock/4f6/4f6db1226741e45c2cba5ed153741655.jpg
3867;Yeastar MyPBX U300;/upload/iblock/8a8/8a8cc94a86c46de5260407ba28b8091e.jpg
3868;Yeastar MyPBX U200;/upload/iblock/031/0316a313d063b4ebc49bc364e615d633.jpg
3869;Yeastar MyPBX U100;/upload/iblock/716/716455b075efe0a816f4aae44ef434f6.jpg
3870;Yeastar MyPBX Standard;/upload/iblock/7f9/7f91f892573e799bc66c9d4d27b2a084.jpg
3871;Yeastar MyPBX SOHO;/upload/iblock/833/833dcdf51167eae53ae051c5165aba0e.jpg
4091;Grandstream UCM6102;/upload/iblock/8f6/8f6a36bdffa690fb4bbec9068f6ee489.png
4096;Grandstream UCM6104;/upload/iblock/3d5/3d5b8d84f88ef4b900c3cce60efb9b54.png
4099;Grandstream UCM6108;/upload/iblock/57c/57cf558cc16fba26454f8b11b4480299.jpg
4307;Panasonic KX-NCP1000RU;/upload/iblock/464/464d4e845f031d6c97a2c6af14bca3b2.jpg
4308;Panasonic KX-NCP500RU;/upload/iblock/50a/50aae49d19f268054c23f408ca1e4d86.jpg
4309;Panasonic KX-TDE100RU;/upload/iblock/157/1572de8c64af5340bb71da65dcefac54.jpg
4310;Panasonic KX-TDE200RU;/upload/iblock/e26/e269eed1cd12b54e3d834246f1471411.jpg
4312;Panasonic KX-TDE600RU;/upload/iblock/cc4/cc45b3650950b0439a407da31686c286.jpg
4867;АГАТ UX-5111;/upload/iblock/388/388946ce23b576878bb165bcc3eb979b.jpg
4868;АГАТ UX-5110/FXO4;/upload/iblock/da1/da112feddd36a98e19653db94b40b5ff.jpg
4997;АГАТ UX-3710;/upload/iblock/6a6/6a6195fa2f4db8fa27714040687404fd.jpg
4998;АГАТ UX-3730;/upload/iblock/18a/18a5380ece57d73c256ed31f7523bb5e.jpg
4999;АГАТ UX-2211;/upload/iblock/103/1038dec3fe8c88b6c3610d1fdc140b31.jpg
5002;АГАТ UX-3410;/upload/iblock/dcf/dcf46d6578cfcf2d352b972701639e83.jpg
5003;АГАТ UX-3720;/upload/iblock/1d0/1d0f6c3d986d9ff145ca032c23a9125f.jpg
5004;АГАТ UX-3420;/upload/iblock/e9d/e9d8ce34eebce16c943d01dca7960e96.jpg
5009;АГАТ UX-3212;/upload/iblock/8f0/8f054d50fbeba34bdc7c6a809db1adfc.jpg
5049;Zycoo CooVox U20-A202;/upload/iblock/ca5/ca5058fc6cfb98ccb5576bf17b6820d6.JPG
5050;Zycoo CooVox U20-A220;/upload/iblock/6ba/6bac31c0a5e4df7fc4d4a0587c1d109e.JPG
6170;ERICSSON-LG SBG-1000.STG;/upload/iblock/4db/4dbe2acd87d053a94da1e3e235327a55.jpg
6653;LG-Ericsson LIK-Micro;/upload/iblock/afd/afdb27e0d8ad96b12da3ce75f9bfe118.jpg
6654;LG-ERICSSON LIK-MFIM50A;/upload/iblock/84c/84cb1148c292f80bb424ba0acc4ed9f4.jpg
6655;LG-ERICSSON LIK-MFIM50B ;/upload/iblock/2a1/2a1dd3222381bcdf3c6b2e0c25255e82.jpg
6656;LG-ERICSSON LIK-MFIM100;/upload/iblock/510/5101b1ade03850cab1a259b77a4e9774.jpg
6657;LG-ERICSSON LIK-MFIM300;/upload/iblock/154/15495cf820b22b465ce788f69698074e.jpg
6658;LG-ERICSSON LIK-MFIM600;/upload/iblock/9b3/9b30fe89ac245fe058780c43b8e24581.jpg
6659;LG-ERICSSON LIK-MFIM1200;/upload/iblock/795/795893ca9a3f52f05ca9e53262b90408.jpg
6807;LG-ERICSSON CM-S2K.STG;/upload/iblock/202/202a260bfeb50f01efb2bb3108e3fcad.jpeg
6808;LG-ERICSSON CM-S1K.STG;/upload/iblock/36f/36f750c6011efa69067b1cbad78ccdbd.jpeg
6811;LG-ERICSSON CM-MGC2.STG;/upload/iblock/ae0/ae07a04de99e3f0c6c03f99bd297c884.jpg
7189;Mocet IG7600;/upload/iblock/5d5/5d55cc0e0f0653c835729499f14f8254.jpg
7195;Atcom IP-2G4A;/upload/iblock/2fb/2fb6ab350f4a81b15aa7dbf2ae775ac1.jpg
7196;Atcom IP-4G;/upload/iblock/758/75812b497d6bca79bc23ea4b6d26196b.jpg
7197;Atcom IP01;/upload/iblock/6bc/6bc6a0a1544469b49ab7f904c5ab78e6.jpg
7198;Atcom IP02;/upload/iblock/709/7092bc81e24dfbf0c1296b043df88fa0.jpg
7199;Atcom IP08;/upload/iblock/d3f/d3f4405b5a1f06712fecdb4e637ed372.jpg
7200;Atcom IP04;/upload/iblock/332/332dcc14d1690dbad74130a31df3159a.jpg
8058;Grandstream UCM6116;/upload/iblock/2d2/2d2eef7259bd5a0d99cb76c5e034c7c1.jpg
8423;Grandstream UCM6510;/upload/iblock/4dc/4dcec469179d233d3049866e935b7ebb.png
8741;OpenVox iCallDroid (1 FXO, 1 FXS);/upload/iblock/ca9/ca91c47954008c38e6e747466893467b.jpg
8742;OpenVox iCallDroid;/upload/iblock/7e7/7e79bb18c43dac7b1b363e47b21ba7bd.jpg
8743;OpenVox iCallDroid spot;/upload/iblock/c96/c966353f141466ecd7a2a61881acfe65.jpg
8744;OpenVox IX132;/upload/iblock/3a6/3a6bb539361829882508a8dbdecea8e8.jpg
8745;OpenVox IX210;/upload/iblock/957/957b21ec060f3e0144c9a9756a1f0157.png
8753;Yeastar N824;/upload/iblock/75f/75f2846a99b3153d516de1b4892b7f57.jpg
9066;LG-ERICSSON SBG-1000.PKG;/upload/iblock/8b4/8b4e97298221bc77f4f0e2833f48d5e6.jpg
9331;Yeastar N1;/upload/iblock/cf2/cf249c191492b5e2a7e7ac7f2e98dc68.png
10108;Avaya IPO 500 V2;/upload/iblock/958/ipo-500-v2_2.jpg
