IE_XML_ID;IE_NAME;IE_CODE;IC_GROUP1
9880;Motorola EVX-S24;motorola-evx-s24;Портативные радиостанции
10752;Motorola DP4801E TIA;motorola-dp4801e-tia;Портативные радиостанции
12062;Motorola DP4801E;motorola-dp4801e;Портативные радиостанции
3760;Motorola DP4801 Ex;motorola-dp4801-ex;Портативные радиостанции
10746;Motorola DP4800E TIA;motorola-dp4800e-tia;Портативные радиостанции
12059;Motorola DP4800E;motorola-dp4800e;Портативные радиостанции
10745;Motorola DP4601E TIA;motorola-dp4601e-tia;Портативные радиостанции
12061;Motorola DP4601E;motorola-dp4601e;Портативные радиостанции
10744;Motorola DP4600E TIA;motorola-dp4600e-tia;Портативные радиостанции
12058;Motorola DP4600E;motorola-dp4600e;Портативные радиостанции
10742;Motorola DP4401E TIA;motorola-dp4401e-tia;Портативные радиостанции
12060;Motorola DP4401E;motorola-dp4401e;Портативные радиостанции
3759;Motorola DP4401 Ex;motorola-dp4401-ex;Портативные радиостанции
10741;Motorola DP4400E TIA;motorola-dp4400e-tia;Портативные радиостанции
12056;Motorola DP4400E;motorola-dp4400e;Портативные радиостанции
12051;Motorola DP3661E TIA;motorola-dp3661e-tia;Портативные радиостанции
12050;Motorola DP3661E;motorola-dp3661e;Портативные радиостанции
10759;Motorola DP3441E TIA;motorola-dp3441e-tia;Портативные радиостанции
12048;Motorola DP3441E;motorola-dp3441e;Портативные радиостанции
10736;Motorola DP2600E TIA;motorola-dp2600e-tia;Портативные радиостанции
12054;Motorola DP2600E;motorola-dp2600e;Портативные радиостанции
10735;Motorola DP2400E TIA;motorola-dp2400e-tia;Портативные радиостанции
12053;Motorola DP2400E;motorola-dp2400e;Портативные радиостанции
15404;Motorola CLP446 Bluetooth;motorola-clp446-bluetooth;Портативные радиостанции
15403;Motorola CLP446;motorola-clp446;Портативные радиостанции
15402;Motorola CLK446;motorola-clk446;Портативные радиостанции
13501;Комбат Т-44 Старт;kombat-t-44-start;Портативные радиостанции
13500;Комбат Т-44 Мастер;kombat-t-44-master;Портативные радиостанции
9696;Комбат Т-34 Старт 3;kombat-t-34-start-3;Портативные радиостанции
12115;Комбат Т-34 Старт 2;kombat-t-34-start-2;Портативные радиостанции
9701;Комбат Т-34 Патруль;kombat-t-34-patrul;Портативные радиостанции
9699;Комбат Т-34 Милитари;kombat-t-34-military;Портативные радиостанции
9697;Комбат Т-34 Мастер 3;kombat-t-34-master-3;Портативные радиостанции
12117;Комбат Т-34 Мастер 2;kombat-t-34-master-2;Портативные радиостанции
12114;Комбат Т-24 Старт;kombat-t-24-start;Портативные радиостанции
12116;Комбат Т-24 Мастер;kombat-t-24-master;Портативные радиостанции
8456;Kenwood TK-380K4;kenwood-tk-380k4;Портативные радиостанции
8455;Kenwood TK-380K;kenwood-tk-380k;Портативные радиостанции
7569;Kenwood TK-3501E;kenwood-tk-3501e;Портативные радиостанции
4051;Kenwood TK-3407M2;kenwood-tk-3407m2;Портативные радиостанции
4052;Kenwood TK-3406M2;kenwood-tk-3406m2;Портативные радиостанции
7568;Kenwood TK-3401DE;kenwood-tk-3401de;Портативные радиостанции
4078;Kenwood TK-3360M;kenwood-tk-3360m;Портативные радиостанции
8460;Kenwood TK-3317M4;kenwood-tk-3317m4;Портативные радиостанции
4075;Kenwood TK-3317M2;kenwood-tk-3317m2;Портативные радиостанции
7583;Kenwood TK-3260EXE2;kenwood-tk-3260exe2;Портативные радиостанции
4095;Kenwood TK-3212M;kenwood-tk-3212m;Портативные радиостанции
7857;Kenwood TK-3180-ISK4;kenwood-tk-3180-isk4;Портативные радиостанции
7603;Kenwood TK-3180-ISK2;kenwood-tk-3180-isk2;Портативные радиостанции
7517;Kenwood TK-3000M2;kenwood-tk-3000m2;Портативные радиостанции
4048;Kenwood TK-3000M;kenwood-tk-3000m;Портативные радиостанции
4105;Kenwood TK-280K;kenwood-tk-280k;Портативные радиостанции
4053;Kenwood TK-2407M;kenwood-tk-2407m;Портативные радиостанции
4076;Kenwood TK-2406M;kenwood-tk-2406m;Портативные радиостанции
4092;Kenwood TK-2360M;kenwood-tk-2360m;Портативные радиостанции
8459;Kenwood TK-2317M2;kenwood-tk-2317m2;Портативные радиостанции
4077;Kenwood TK-2317M;kenwood-tk-2317m;Портативные радиостанции
7601;Kenwood TK-2180-ISK;kenwood-tk-2180-isk;Портативные радиостанции
3737;Kenwood TK-2170M;kenwood-tk-2170m;Портативные радиостанции
4049;Kenwood TK-2000M;kenwood-tk-2000m;Портативные радиостанции
8518;Kenwood NX-340M3;kenwood-nx-340m3;Портативные радиостанции
8475;Kenwood NX-340M2;kenwood-nx-340m2;Портативные радиостанции
12498;Kenwood NX-3320E3;kenwood-nx-3320e3;Портативные радиостанции
12493;Kenwood NX-3320E2;kenwood-nx-3320e2;Портативные радиостанции
12491;Kenwood NX-3320E;kenwood-nx-3320e;Портативные радиостанции
7585;Kenwood NX-330EXE;kenwood-nx-330exe;Портативные радиостанции
12490;Kenwood NX-3220E3;kenwood-nx-3220e3;Портативные радиостанции
12489;Kenwood NX-3220E2;kenwood-nx-3220e2;Портативные радиостанции
12480;Kenwood NX-3220E;kenwood-nx-3220e;Портативные радиостанции
8521;Kenwood NX-320E3;kenwood-nx-320e3;Портативные радиостанции
8522;Kenwood NX-320E2;kenwood-nx-320e2;Портативные радиостанции
8477;Kenwood NX-320E;kenwood-nx-320e;Портативные радиостанции
8527;Kenwood NX-300K3;kenwood-nx-300k3;Портативные радиостанции
8514;Kenwood NX-300K;kenwood-nx-300k;Портативные радиостанции
8524;Kenwood NX-300GK4;kenwood-nx-300gk4;Портативные радиостанции
8523;Kenwood NX-300GK;kenwood-nx-300gk;Портативные радиостанции
7607;Kenwood NX-300-ISK2;kenwood-nx-300-isk2;Портативные радиостанции
8517;Kenwood NX-240M2;kenwood-nx-240m2;Портативные радиостанции
8468;Kenwood NX-240M;kenwood-nx-240m;Портативные радиостанции
7584;Kenwood NX-230EXE;kenwood-nx-230exe;Портативные радиостанции
8520;Kenwood NX-220E3;kenwood-nx-220e3;Портативные радиостанции
8519;Kenwood NX-220E2;kenwood-nx-220e2;Портативные радиостанции
8476;Kenwood NX-220E;kenwood-nx-220e;Портативные радиостанции
8526;Kenwood NX-200K2;kenwood-nx-200k2;Портативные радиостанции
8525;Kenwood NX-200GK2;kenwood-nx-200gk2;Портативные радиостанции
8478;Kenwood NX-200GK;kenwood-nx-200gk;Портативные радиостанции
8531;Kenwood NX-200E3;kenwood-nx-200e3;Портативные радиостанции
7606;Kenwood NX-200-ISK2;kenwood-nx-200-isk2;Портативные радиостанции
13873;Icom IC-F9023T;icom-ic-f9023t;Портативные радиостанции
13097;Icom IC-F9021S;icom-ic-f9021s;Портативные радиостанции
13104;Icom IC-F9021B;icom-ic-f9021b;Портативные радиостанции
13091;Icom IC-F9011T;icom-ic-f9011t;Портативные радиостанции
13095;Icom IC-F9011S;icom-ic-f9011s;Портативные радиостанции
13102;Icom IC-F9011B;icom-ic-f9011b;Портативные радиостанции
3735;Icom IC-F50;icom-ic-f50;Портативные радиостанции
13087;Icom IC-F4400DT;icom-ic-f4400dt;Портативные радиостанции
15233;Icom IC-F4400DS;icom-ic-f4400ds;Портативные радиостанции
15232;Icom IC-F4400D;icom-ic-f4400d;Портативные радиостанции
13089;Icom IC-F4360DT;icom-ic-f4360dt;Портативные радиостанции
8583;Icom IC-F4262DT;icom-ic-f4262dt;Портативные радиостанции
13078;Icom IC-F4230DT;icom-ic-f4230dt;Портативные радиостанции
13075;Icom IC-F4210D;icom-ic-f4210d;Портативные радиостанции
8581;Icom IC-F4162DT;icom-ic-f4162dt;Портативные радиостанции
9582;Icom IC-F4103D;icom-ic-f4103d;Портативные радиостанции
8023;Icom IC-F4102D;icom-ic-f4102d;Портативные радиостанции
8022;Icom IC-F4036T;icom-ic-f4036t;Портативные радиостанции
8021;Icom IC-F4036S;icom-ic-f4036s;Портативные радиостанции
8020;Icom IC-F4003 #23;icom-ic-f4003-23;Портативные радиостанции
8019;Icom IC-F4003 #22;icom-ic-f4003-22;Портативные радиостанции
13082;Icom IC-F3400DT;icom-ic-f3400dt;Портативные радиостанции
15228;Icom IC-F3400DS;icom-ic-f3400ds;Портативные радиостанции
15227;Icom IC-F3400D;icom-ic-f3400d;Портативные радиостанции
13085;Icom IC-F3360DT;icom-ic-f3360dt;Портативные радиостанции
8004;Icom IC-F3262DT;icom-ic-f3262dt;Портативные радиостанции
13077;Icom IC-F3230DT;icom-ic-f3230dt;Портативные радиостанции
13072;Icom IC-F3210D;icom-ic-f3210d;Портативные радиостанции
8017;Icom IC-F3162DT;icom-ic-f3162dt;Портативные радиостанции
9590;Icom IC-F3161DT;icom-ic-f3161dt;Портативные радиостанции
9581;Icom IC-F3103D;icom-ic-f3103d;Портативные радиостанции
7997;Icom IC-F3102D;icom-ic-f3102d;Портативные радиостанции
7909;Icom IC-F3036T;icom-ic-f3036t;Портативные радиостанции
7908;Icom IC-F3036S;icom-ic-f3036s;Портативные радиостанции
7999;Icom IC-F3003 #23;icom-ic-f3003-23;Портативные радиостанции
7998;Icom IC-F3003 #22;icom-ic-f3003-22;Портативные радиостанции
3728;Icom IC-F26;icom-ic-f26;Портативные радиостанции
15231;Icom IC-F2100DT;icom-ic-f2100dt;Портативные радиостанции
15230;Icom IC-F2100DS;icom-ic-f2100ds;Портативные радиостанции
15229;Icom IC-F2100D;icom-ic-f2100d;Портативные радиостанции
3727;Icom IC-F16;icom-ic-f16;Портативные радиостанции
15226;Icom IC-F1100DT;icom-ic-f1100dt;Портативные радиостанции
15225;Icom IC-F1100DS;icom-ic-f1100ds;Портативные радиостанции
15224;Icom IC-F1100D;icom-ic-f1100d;Портативные радиостанции
7829;Icom IC-4088E;icom-ic-4088e;Портативные радиостанции
9340;Hytera X1p UL913 G (MD);hytera-x1p-ul913;Портативные радиостанции
4700;Hytera X1p G (MD);hytera-x1p;Портативные радиостанции
14944;Hytera TF515;hytera-tf515;Портативные радиостанции
14943;Hytera TF415;hytera-tf415;Портативные радиостанции
14942;Hytera TF315;hytera-tf315;Портативные радиостанции
4572;Hytera TC-700;hytera-tc-700;Портативные радиостанции
4571;Hytera TC-580;hytera-tc-580;Портативные радиостанции
4570;Hytera TC-518;hytera-tc-518;Портативные радиостанции
4569;Hytera TC-508;hytera-tc-508;Портативные радиостанции
4568;Hytera TC-320;hytera-tc-320;Портативные радиостанции
16044;Hytera PD985 UL913 G (MD);hytera-pd985-ul913-g-md;Портативные радиостанции
12808;Hytera PD985;hytera-pd985;Портативные радиостанции
17249;Hytera PD795IS G (MD);hytera-pd795is-g-md;Портативные радиостанции
4733;Hytera PD795Ex G (MD);hytera-pd795ex;Портативные радиостанции
10409;Hytera PD785 UL913 G (MD);hytera-pd785g-ul913;Портативные радиостанции
10400;Hytera PD785 G;hytera-pd785g;Портативные радиостанции
10408;Hytera PD785 UL913 (MD);hytera-pd785-ul913;Портативные радиостанции
4668;Hytera PD785;hytera-pd785;Портативные радиостанции
9337;Hytera PD755 G;hytera-pd755g;Портативные радиостанции
9336;Hytera PD755;hytera-pd755;Портативные радиостанции
9994;Hytera PD715Ex G (MD);hytera-pd715ex;Портативные радиостанции
9339;Hytera PD705 UL913 G (MD);hytera-pd705g-ul913;Портативные радиостанции
9335;Hytera PD705 G;hytera-pd705g;Портативные радиостанции
9338;Hytera PD705 UL913 (MD);hytera-pd705-ul913;Портативные радиостанции
4647;Hytera PD705;hytera-pd705;Портативные радиостанции
8695;Hytera PD685 G (MD);hytera-pd685g-md;Портативные радиостанции
8694;Hytera PD685 G;hytera-pd685g;Портативные радиостанции
8696;Hytera PD685 (MD);hytera-pd685-md;Портативные радиостанции
8693;Hytera PD685;hytera-pd685;Портативные радиостанции
8691;Hytera PD665 G (MD);hytera-pd665g-md;Портативные радиостанции
8690;Hytera PD665 G;hytera-pd665g;Портативные радиостанции
8692;Hytera PD665 (MD);hytera-pd665-md;Портативные радиостанции
8689;Hytera PD665;hytera-pd665;Портативные радиостанции
8687;Hytera PD605 G;hytera-pd605g-md;Портативные радиостанции
8686;Hytera PD605;hytera-pd605g;Портативные радиостанции
8688;Hytera PD605 (MD);hytera-pd605-md;Портативные радиостанции
4249;Hytera PD605 G (MD);hytera-pd605;Портативные радиостанции
16043;Hytera PD565 UL913;hytera-pd565-ul913;Портативные радиостанции
8056;Hytera PD565;hytera-pd565;Портативные радиостанции
8685;Hytera PD505 UHF;hytera-pd505lf;Портативные радиостанции
16042;Hytera PD505 UL913;hytera-pd505-ul913;Портативные радиостанции
4248;Hytera PD505 VHF;hytera-pd505;Портативные радиостанции
13241;Hytera PD485G;hytera-pd485g;Портативные радиостанции
13240;Hytera PD485;hytera-pd485;Портативные радиостанции
9334;Hytera PD415;hytera-pd415;Портативные радиостанции
9333;Hytera PD405 new;hytera-pd405;Портативные радиостанции
8054;Hytera PD365;hytera-pd365;Портативные радиостанции
14028;Hytera BD555;hytera-bd555;Портативные радиостанции
14026;Hytera BD505;hytera-bd505;Портативные радиостанции
14025;Hytera BD305;hytera-bd305lf;Портативные радиостанции
14024;Hytera BD305 2W;hytera-bd305;Портативные радиостанции
11651;ГРИФОН G-6;grifon-g-6;Портативные радиостанции
9480;ГРИФОН G-44;grifon-g-44;Портативные радиостанции
11974;ГРИФОН G-34;grifon-g-34;Портативные радиостанции
15461;Грифон G-3;grifon-g-3;Портативные радиостанции
15156;Гранит 1Р32Н;granit-1r32n;Портативные радиостанции
15157;Гранит 1Р31Н;granit-1r31n;Портативные радиостанции
10510;Comrade R8;comrade-r8;Портативные радиостанции
14056;Comrade R7 VHF;comrade-r7-vhf;Портативные радиостанции
10509;Comrade R7;comrade-r7;Портативные радиостанции
14055;Comrade R6 Digital;comrade-r6-digital;Портативные радиостанции
10506;Comrade R6;comrade-r6;Портативные радиостанции
10503;Comrade R5;comrade-r5;Портативные радиостанции
14057;Comrade R1;comrade-r1;Портативные радиостанции
11781;Бизон VK50M;bizon-vk50m;Портативные радиостанции
11782;Бизон VK50L 1700/3200 мАч;bizon-vk50l-1700-3200-mah;Портативные радиостанции
15275;Бизон KT85DM;bizon-kt85dm;Портативные радиостанции
5969;Бизон KT85;bizon-kt85;Портативные радиостанции
11400;Бизон KT65;bizon-kt65;Портативные радиостанции
15263;Бизон KT25L;bizon-kt25l;Портативные радиостанции
15068;Бизон KT15S;bizon-kt15s;Портативные радиостанции
11401;Бизон KT15;bizon-kt15;Портативные радиостанции
15069;Байкал-30 В1;bajkal-30-v1;Портативные радиостанции
15409;Аргут РК-301Н;argut-rk-301n;Портативные радиостанции
15410;Аргут РК-301М VHF;argut-rk-301m-vhf;Портативные радиостанции
15413;Аргут РК-301М UHF;argut-rk-301m-uhf;Портативные радиостанции
9060;Аргут РК-301М Роуминг VHF;argut-rk-301m-rouming-vhf;Портативные радиостанции
15431;Аргут РК-301М Роуминг UHF;argut-rk-301m-rouming-uhf;Портативные радиостанции
9061;Аргут А-74;argut-a-74;Портативные радиостанции
12585;Аргут А-73;argut-a-73;Портативные радиостанции
15408;Аргут А-55;argut-a-55;Портативные радиостанции
4338;АРГУТ А-54;argut-a-54;Портативные радиостанции
4334;АРГУТ А-43;argut-a-43;Портативные радиостанции
4333;АРГУТ А-41 NEW;argut-a-41-new;Портативные радиостанции
9059;АРГУТ А-25 NEW;argut-a-25-new;Портативные радиостанции
14110;Аргут А-24 LED;argut-a-24-led;Портативные радиостанции
4331;АРГУТ А-23 NEW;argut-a-23-new;Портативные радиостанции
13653;ALINCO DJ-VX50;alinco-dj-vx50;Портативные радиостанции
13652;Alinco DJ-VX41;alinco-dj-vx41;Портативные радиостанции
13920;Alinco DJ-VX11;alinco-dj-vx11;Портативные радиостанции
13918;Alinco DJ-VX10;alinco-dj-vx10;Портативные радиостанции
4889;Alinco DJ-V57;alinco-dj-v57;Портативные радиостанции
8724;Alinco DJ-V17L (body);alinco-dj-v17l-body;Портативные радиостанции
14702;ALINCO DJ-PAX4;alinco-dj-pax4;Портативные радиостанции
13928;Alinco DJ-MD5EGP;alinco-dj-md5egp;Портативные радиостанции
13926;Alinco DJ-MD5E;alinco-dj-md5e;Портативные радиостанции
10970;Alinco DJ-MD40;alinco-dj-md40;Портативные радиостанции
4761;Alinco DJ-G7;alinco-dj-g7;Портативные радиостанции
13005;Alinco DJ-D45;alinco-dj-d45;Портативные радиостанции
13004;Alinco DJ-D15;alinco-dj-d15;Портативные радиостанции
15621;Alinco DJ-CRX7;alinco-dj-crx7;Портативные радиостанции
11360;ALINCO DJ-AXD4;alinco-dj-axd4;Портативные радиостанции
11359;ALINCO DJ-AXD1;alinco-dj-axd1;Портативные радиостанции
8719;Alinco DJ-A446;alinco-dj-a446;Портативные радиостанции
8717;Alinco DJ-A41;alinco-dj-a41;Портативные радиостанции
8718;Alinco DJ-A40;alinco-dj-a40;Портативные радиостанции
8716;Alinco DJ-A11;alinco-dj-a11;Портативные радиостанции
8715;Alinco DJ-A10;alinco-dj-a10;Портативные радиостанции
8721;Alinco DJ-500;alinco-dj-500;Портативные радиостанции
8726;Alinco DJ-496 (body);alinco-dj-496-body;Портативные радиостанции
8722;Alinco DJ-195 (body);alinco-dj-195-body;Портативные радиостанции
8723;Alinco DJ-17R/TFH (body);alinco-dj-17r-tfh-body;Портативные радиостанции
8720;Alinco DJ-100;alinco-dj-100;Портативные радиостанции
4254;Ajetrays AJ-447;ajetrays-aj-447;Портативные радиостанции
4253;Ajetrays AJ-446;ajetrays-aj-446;Портативные радиостанции
12361;Ajetrays AJ-437;ajetrays-aj-437;Портативные радиостанции
9896;Motorola SL4000;9896;Портативные радиостанции
9895;Motorola DP4800;9895;Портативные радиостанции
9894;Motorola DP4801 GLONASS;9894;Портативные радиостанции
9893;Motorola DP4401 GLONASS;9893;Портативные радиостанции
9892;Motorola DP4600;9892;Портативные радиостанции
9891;Motorola DP4401;9891;Портативные радиостанции
9879;Vertex Standard EVX-261;9879;Портативные радиостанции
9842;Комбат Т-34 ATEX;9842;Портативные радиостанции
9841;Комбат Т-34 Макс;9841;Портативные радиостанции
9840;Комбат Т-34 Спорт;9840;Портативные радиостанции
9602;Комплект Lira P-280;9602;Портативные радиостанции
9601;Vostok ST-31 комплект;9601;Портативные радиостанции
9600;Vostok ST-101 комплект;9600;Портативные радиостанции
9599;Vostok ST-54 комплект;9599;Портативные радиостанции
9596;Vostok ST-54;9596;Портативные радиостанции
9593;Icom IC-F1000T;9593;Портативные радиостанции
9592;Icom IC-F1000S;9592;Портативные радиостанции
9591;Icom IC-F4161DT;9591;Портативные радиостанции
9587;Hytera PD375;9587;Портативные радиостанции
9583;Hytera TC-700Ex;9583;Портативные радиостанции
9526;Vertex Standard VX-824 ATEX;9526;Портативные радиостанции
9525;Vertex Standard VX-821 ATEX;9525;Портативные радиостанции
9511;Янтарь-Н;9511;Портативные радиостанции
9481;ГРИФОН G-45;9481;Портативные радиостанции
9479;Vertex Standard VX-264;9479;Портативные радиостанции
9478;Vertex Standard VX-241;9478;Портативные радиостанции
9472;Vertex Standard EVX-539 (IS);9472;Портативные радиостанции
9471;Vertex Standard EVX-531 (IS);9471;Портативные радиостанции
9465;Optim WT-556;9465;Портативные радиостанции
9464;Optim WT-555;9464;Портативные радиостанции
9408;АРГУТ А-36;9408;Портативные радиостанции
9343;Hytera TC-780;9343;Портативные радиостанции
9321;Vertex Standard EVX-Link;9321;Портативные радиостанции
9283;Vertex Standard VZ-9;9283;Портативные радиостанции
9144;AJETRAYS AJ-435;9144;Портативные радиостанции
8979;Midland G-21;8979;Портативные радиостанции
8978;Midland G9XT;8978;Портативные радиостанции
8977;Midland G70XT;8977;Портативные радиостанции
8976;Midland GXT-1000;8976;Портативные радиостанции
8975;Midland GXT-850;8975;Портативные радиостанции
8974;Midland LXT-325;8974;Портативные радиостанции
8973;Midland Alan 42;8973;Портативные радиостанции
8839;Yaesu FTA-310;8839;Портативные радиостанции
8838;Yaesu FTA-550 AA;8838;Портативные радиостанции
8833;Yaesu FTA-720;8833;Портативные радиостанции
8832;Yaesu FTA-750L;8832;Портативные радиостанции
8831;Yaesu FT-270R;8831;Портативные радиостанции
8830;Yaesu FT1D;8830;Портативные радиостанции
8725;Alinco DJ-V47R (body);8725;Портативные радиостанции
8590;Icom IC-F4262DS #26;8590;Портативные радиостанции
8589;Icom IC-F4262DS #27;8589;Портативные радиостанции
8588;Icom IC-F4262DS #28;8588;Портативные радиостанции
8587;Icom IC-F4262DS #29;8587;Портативные радиостанции
8586;Icom IC-F4262DT #24;8586;Портативные радиостанции
8585;Icom IC-F4262DT #23;8585;Портативные радиостанции
8584;Icom IC-F4262DT #22;8584;Портативные радиостанции
8582;Icom IC-F4162DT #84;8582;Портативные радиостанции
8580;Icom IC-F4162DS #94;8580;Портативные радиостанции
8565;Lira P-112L;8565;Портативные радиостанции
8530;Kenwood NX-300E4;8530;Портативные радиостанции
8529;Kenwood NX-300K4;8529;Портативные радиостанции
8528;Kenwood NX-300K2;8528;Портативные радиостанции
8516;Kenwood NX-300E;8516;Портативные радиостанции
8515;Kenwood NX-200E;8515;Портативные радиостанции
8479;Kenwood NX-200K;8479;Портативные радиостанции
8458;Kenwood TK-3306NM3;8458;Портативные радиостанции
8445;Kenwood TK-3170E6;8445;Портативные радиостанции
8387;Icom IP-100H;8387;Портативные радиостанции
