IE_XML_ID;IE_NAME;CP_QUANTITY;CV_PRICE_1
4077;Kenwood TK-2317M;0;253.00
7601;Kenwood TK-2180-ISK;0;800.00
3737;Kenwood TK-2170M;0;317.00
4049;Kenwood TK-2000M;0;176.00
8518;Kenwood NX-340M3;0;371.00
8475;Kenwood NX-340M2;0;271.00
12498;Kenwood NX-3320E3;0;430.00
12493;Kenwood NX-3320E2;0;488.00
12491;Kenwood NX-3320E;0;531.00
7585;Kenwood NX-330EXE;0;1495.00
12490;Kenwood NX-3220E3;0;430.00
12489;Kenwood NX-3220E2;0;488.00
12480;Kenwood NX-3220E;0;531.00
8521;Kenwood NX-320E3;0;452.00
8522;Kenwood NX-320E2;0;513.00
8477;Kenwood NX-320E;0;558.00
8527;Kenwood NX-300K3;0;767.00
8514;Kenwood NX-300K;0;767.00
8524;Kenwood NX-300GK4;0;844.00
8523;Kenwood NX-300GK;0;863.00
7607;Kenwood NX-300-ISK2;0;820.00
8517;Kenwood NX-240M2;0;371.00
8468;Kenwood NX-240M;0;271.00
7584;Kenwood NX-230EXE;0;1495.00
8520;Kenwood NX-220E3;0;452.00
8519;Kenwood NX-220E2;0;513.00
8476;Kenwood NX-220E;0;558.00
8526;Kenwood NX-200K2;0;804.00
8525;Kenwood NX-200GK2;0;844.00
8478;Kenwood NX-200GK;0;787.00
8531;Kenwood NX-200E3;0;910.00
7606;Kenwood NX-200-ISK2;0;872.00
13873;Icom IC-F9023T;0;143720.00
13097;Icom IC-F9021S;0;132990.00
13104;Icom IC-F9021B;0;109400.00
13091;Icom IC-F9011T;0;143720.00
13095;Icom IC-F9011S;0;132990.00
13102;Icom IC-F9011B;0;109400.00
3735;Icom IC-F50;0;27550.00
13087;Icom IC-F4400DT;0;63540.00
15233;Icom IC-F4400DS;0;60760.00
15232;Icom IC-F4400D;0;56690.00
13089;Icom IC-F4360DT;0;65210.00
8583;Icom IC-F4262DT;0;69650.00
13078;Icom IC-F4230DT;0;44270.00
13075;Icom IC-F4210D;0;39830.00
8581;Icom IC-F4162DT;0;64840.00
9582;Icom IC-F4103D;0;32080.00
8023;Icom IC-F4102D;0;33950.00
8022;Icom IC-F4036T;0;23710.00
8021;Icom IC-F4036S;0;23340.00
8020;Icom IC-F4003 #23;0;16580.00
8019;Icom IC-F4003 #22;0;14250.00
13082;Icom IC-F3400DT;0;63540.00
15228;Icom IC-F3400DS;0;60760.00
15227;Icom IC-F3400D;0;56690.00
13085;Icom IC-F3360DT;0;64840.00
8004;Icom IC-F3262DT;0;69650.00
13077;Icom IC-F3230DT;0;42980.00
13072;Icom IC-F3210D;0;39830.00
8017;Icom IC-F3162DT;0;64840.00
9590;Icom IC-F3161DT;0;60390.00
9581;Icom IC-F3103D;0;32080.00
7997;Icom IC-F3102D;0;32250.00
7909;Icom IC-F3036T;0;23710.00
7908;Icom IC-F3036S;0;23340.00
7999;Icom IC-F3003 #23;0;16580.00
7998;Icom IC-F3003 #22;0;14250.00
3728;Icom IC-F26;0;21290.00
15231;Icom IC-F2100DT;0;29690.00
15230;Icom IC-F2100DS;0;28840.00
15229;Icom IC-F2100D;0;27470.00
3727;Icom IC-F16;0;18920.00
15226;Icom IC-F1100DT;0;29690.00
15225;Icom IC-F1100DS;0;28840.00
15224;Icom IC-F1100D;0;27470.00
7829;Icom IC-4088E;0;12430.00
9340;Hytera X1p UL913 G (MD);0;1215.00
4700;Hytera X1p G (MD);0;1081.00
14944;Hytera TF515;0;58.31
14943;Hytera TF415;0;54.62
14942;Hytera TF315;0;33.08
4572;Hytera TC-700;0;0.00
4571;Hytera TC-580;0;0.00
4570;Hytera TC-518;0;0.00
4569;Hytera TC-508;0;0.00
4568;Hytera TC-320;0;0.00
16044;Hytera PD985 UL913 G (MD);0;990.00
12808;Hytera PD985;0;734.00
17249;Hytera PD795IS G (MD);0;1981.00
4733;Hytera PD795Ex G (MD);0;1612.00
10409;Hytera PD785 UL913 G (MD);0;933.00
10400;Hytera PD785 G;0;744.00
10408;Hytera PD785 UL913 (MD);0;887.00
4668;Hytera PD785;0;698.00
9337;Hytera PD755 G;0;695.00
9336;Hytera PD755;0;649.00
9994;Hytera PD715Ex G (MD);0;1378.00
9339;Hytera PD705 UL913 G (MD);0;782.00
9335;Hytera PD705 G;0;593.00
9338;Hytera PD705 UL913 (MD);0;736.00
4647;Hytera PD705;0;547.00
8695;Hytera PD685 G (MD);0;722.00
8694;Hytera PD685 G;0;689.00
8696;Hytera PD685 (MD);0;676.00
8693;Hytera PD685;0;643.00
8691;Hytera PD665 G (MD);0;672.00
8690;Hytera PD665 G;0;639.00
8692;Hytera PD665 (MD);0;626.00
8689;Hytera PD665;0;593.00
8687;Hytera PD605 G;0;538.00
8686;Hytera PD605;0;492.00
8688;Hytera PD605 (MD);0;524.00
4249;Hytera PD605 G (MD);0;571.00
16043;Hytera PD565 UL913;0;536.00
8056;Hytera PD565;0;458.00
8685;Hytera PD505 UHF;0;378.00
16042;Hytera PD505 UL913;0;454.00
4248;Hytera PD505 VHF;0;378.00
13241;Hytera PD485G;0;0.00
13240;Hytera PD485;0;0.00
9334;Hytera PD415;0;0.00
9333;Hytera PD405 new;0;0.00
8054;Hytera PD365;0;0.00
14028;Hytera BD555;0;0.00
14026;Hytera BD505;0;0.00
14025;Hytera BD305;0;0.00
14024;Hytera BD305 2W;0;0.00
11651;ГРИФОН G-6;0;3960.00
9480;ГРИФОН G-44;0;2420.00
11974;ГРИФОН G-34;0;6490.00
15461;Грифон G-3;0;4345.00
15156;Гранит 1Р32Н;0;28200.00
15157;Гранит 1Р31Н;0;32100.00
10510;Comrade R8;0;9400.00
14056;Comrade R7 VHF;0;8650.00
10509;Comrade R7;0;8650.00
14055;Comrade R6 Digital;0;21150.00
10506;Comrade R6;0;17250.00
10503;Comrade R5;0;10900.00
14057;Comrade R1;0;5000.00
11781;Бизон VK50M;0;170.00
11782;Бизон VK50L 1700/3200 мАч;0;165.00
15275;Бизон KT85DM;0;200.00
5969;Бизон KT85;0;150.00
11400;Бизон KT65;0;200.00
15263;Бизон KT25L;0;80.00
15068;Бизон KT15S;0;40.00
11401;Бизон KT15;0;30.00
15069;Байкал-30 В1;0;12897.00
15409;Аргут РК-301Н;0;9350.00
15410;Аргут РК-301М VHF;0;11000.00
15413;Аргут РК-301М UHF;0;11000.00
9060;Аргут РК-301М Роуминг VHF;0;18600.00
15431;Аргут РК-301М Роуминг UHF;0;18600.00
9061;Аргут А-74;0;9790.00
12585;Аргут А-73;0;12980.00
15408;Аргут А-55;0;4180.00
4338;АРГУТ А-54;0;9350.00
4334;АРГУТ А-43;0;6545.00
4333;АРГУТ А-41 NEW;0;8800.00
9059;АРГУТ А-25 NEW;0;7260.00
14110;Аргут А-24 LED;0;7370.00
4331;АРГУТ А-23 NEW;0;7370.00
13653;ALINCO DJ-VX50;0;12000.00
13652;Alinco DJ-VX41;0;9500.00
13920;Alinco DJ-VX11;0;9500.00
13918;Alinco DJ-VX10;0;11000.00
4889;Alinco DJ-V57;0;20500.00
8724;Alinco DJ-V17L (body);0;16000.00
14702;ALINCO DJ-PAX4;0;19000.00
13928;Alinco DJ-MD5EGP;0;21500.00
13926;Alinco DJ-MD5E;0;18500.00
10970;Alinco DJ-MD40;0;21000.00
4761;Alinco DJ-G7;0;39000.00
13005;Alinco DJ-D45;0;15500.00
13004;Alinco DJ-D15;0;15500.00
15621;Alinco DJ-CRX7;0;9500.00
11360;ALINCO DJ-AXD4;0;21000.00
11359;ALINCO DJ-AXD1;0;21000.00
8719;Alinco DJ-A446;0;10500.00
8717;Alinco DJ-A41;0;8900.00
8718;Alinco DJ-A40;0;10500.00
8716;Alinco DJ-A11;0;8900.00
8715;Alinco DJ-A10;0;10500.00
8721;Alinco DJ-500;0;12500.00
8726;Alinco DJ-496 (body);0;12500.00
8722;Alinco DJ-195 (body);0;10500.00
8723;Alinco DJ-17R/TFH (body);0;12500.00
8720;Alinco DJ-100;0;12500.00
4254;Ajetrays AJ-447;0;5020.00
4253;Ajetrays AJ-446;0;6240.00
12361;Ajetrays AJ-437;0;8720.00
9896;Motorola SL4000;0;0.00
9895;Motorola DP4800;0;0.00
9894;Motorola DP4801 GLONASS;0;0.00
9893;Motorola DP4401 GLONASS;0;0.00
9892;Motorola DP4600;0;0.00
9891;Motorola DP4401;0;0.00
9879;Vertex Standard EVX-261;0;0.00
9842;Комбат Т-34 ATEX;0;0.00
9841;Комбат Т-34 Макс;0;0.00
9840;Комбат Т-34 Спорт;0;0.00
9602;Комплект Lira P-280;0;0.00
9601;Vostok ST-31 комплект;0;0.00
9600;Vostok ST-101 комплект;0;0.00
9599;Vostok ST-54 комплект;0;0.00
9596;Vostok ST-54;0;0.00
9593;Icom IC-F1000T;0;0.00
9592;Icom IC-F1000S;0;0.00
9591;Icom IC-F4161DT;0;0.00
9587;Hytera PD375;0;0.00
9583;Hytera TC-700Ex;0;0.00
9526;Vertex Standard VX-824 ATEX;0;0.00
9525;Vertex Standard VX-821 ATEX;0;0.00
9511;Янтарь-Н;0;0.00
