IE_XML_ID;IE_NAME;IP_PROP29
3887;Mairdi MRD-512S;
3888;Mairdi MRD-512DS;
3889;Mairdi MRD-609;
3891;Mairdi MRD-609D;
3892;Mairdi MRD-QD002;
3893;Mairdi MRD-QD002(A);
3894;Mairdi MRD-QD005;
3895;Mairdi MRD-QD005;
3896;Mairdi MRD-QD012;
3897;Mairdi MRD-USB001;
3898;Mairdi MRD-QD011;
3911;Motorola MDRMN4028;13037
3911;Motorola MDRMN4028;7393
3912;Motorola HMN9727;13037
3912;Motorola HMN9727;7393
3913;Motorola BDN6667;13037
3913;Motorola BDN6667;7393
3914;Motorola MDPMMN4009;13037
3914;Motorola MDPMMN4009;7393
3915;Motorola MDPMLN4556;13037
3915;Motorola MDPMLN4556;7393
3916;Motorola MDRMN5037;13037
3916;Motorola MDRMN5037;7393
3917;Motorola MDPMMN4021;13037
3917;Motorola MDPMMN4021;7393
3918;Motorola MDPMMN4027;13037
3918;Motorola MDPMMN4027;7393
3919;Motorola MDRMN4031;13037
3919;Motorola MDRMN4031;7393
3920;Motorola MDRMN4018;13037
3920;Motorola MDRMN4018;7393
3921;Motorola ENMN4012;13037
3921;Motorola ENMN4012;7393
3922;Motorola MDPMLN4653;13037
3922;Motorola MDPMLN4653;7393
3923;Motorola PMLN4605;13037
3924;Motorola MDRMN4029;13037
3924;Motorola MDRMN4029;7393
3925;Motorola MDRMN4021;13037
3925;Motorola MDRMN4021;7393
3926;Motorola MDPMLN4519;13037
3926;Motorola MDPMLN4519;7393
3927;Motorola HNN4003;13037
3927;Motorola HNN4003;7393
3928;Motorola HNN4002;13037
3928;Motorola HNN4002;7393
3929;Motorola HNN4001;13037
3929;Motorola HNN4001;7393
3930;Motorola HNN9013;13037
3930;Motorola HNN9013;7393
3931;Motorola HNN9012;13037
3931;Motorola HNN9012;7393
3932;Motorola HNN9011;13037
3932;Motorola HNN9011;7393
3933;Motorola HNN9010;13037
3933;Motorola HNN9010;7393
3934;Motorola HNN9009;13037
3935;Motorola HNN9008;13037
3936;Motorola EN1009;13037
3936;Motorola EN1009;7393
3937;Motorola EN1008;13037
3937;Motorola EN1008;7393
3938;Motorola EN1007;13037
3938;Motorola EN1007;7393
3939;Motorola EN1006;13037
3939;Motorola EN1006;7393
3940;Motorola WPLN418;13037
3940;Motorola WPLN418;7393
3941;Motorola MDHTN3001;13037
3941;Motorola MDHTN3001;7393
3942;Motorola WPLN4194;13037
3943;Motorola WPLN4189;13037
3944;Motorola HLN9952;13037
3944;Motorola HLN9952;7393
3945;Motorola HLN9689;13037
3945;Motorola HLN9689;7393
3946;Motorola HLN9665;13037
3946;Motorola HLN9665;7393
3947;Motorola PMLN4471;13037
3947;Motorola PMLN4471;7393
3948;Motorola PMLN4421;13037
3949;Motorola PMLN4470 N;13037
3949;Motorola PMLN4470 N;7393
3950;Motorola PMMN4056;13037
3950;Motorola PMMN4056;7393
3951;Motorola PMMN4055;13037
3951;Motorola PMMN4055;7393
3952;Motorola PMLN5154;13037
3952;Motorola PMLN5154;7393
3953;Motorola PMLN5152;13037
3953;Motorola PMLN5152;7393
3954;Motorola PMLN5151;13037
3954;Motorola PMLN5151;7393
3955;Motorola GMMN1111;13037
3955;Motorola GMMN1111;7393
3956;Motorola NNTN5510;13037
3957;Motorola GMLN1111;13037
3957;Motorola GMLN1111;7393
3958;Motorola GMLN1110;13037
3958;Motorola GMLN1110;7393
3959;Motorola GMLN1113;13037
3959;Motorola GMLN1113;7393
3960;Motorola GMLN1112;13037
3960;Motorola GMLN1112;7393
3961;Motorola GLN7318;13037
3962;Motorola GLN7326;13037
3964;Motorola HSN8145;13037
3965;Motorola GKN6266;13037
3965;Motorola GKN6266;7393
3966;Motorola GPN6145;13037
3966;Motorola GPN6145;7393
3967;Motorola GLN7324;13037
3967;Motorola GLN7324;7393
3968;Yealink BT40;11149
3969;Yealink RT10;11149
3969;Yealink RT10;7393
3970;Yealink EXP40;11149
3971;Yealink EXP39;11149
3972;Yealink EXP38;11149
3978;Yaesu FT-1802M / FT-1807M;7393
3979;Yaesu FT-2800M;7393
3980;Yaesu FT-7800R;7393
3981;Yaesu FT-7900R;7393
3983;Yaesu FT-8900R;7393
3984;Yaesu FTM-10R;7393
3989;Yaesu VX-8R;7393
3990;Yaesu VX-110;7393
3991;Yaesu VX-150;7393
3992;Yaesu VX-120;7393
3993;Yaesu VX-170 / VX-177;7393
3994;Yaesu VX-6R;
3995;Yaesu VX-7R;7393
3997;Yaesu FT-950;7393
3998;Yaesu FT-817;7393
3999;Yaesu FT-857;7393
4000;Yaesu FT-897D;7393
4001;Yaesu FT-2000;7393
4002;Yaesu FT-450D;7393
4003;Yaesu FT DX 9000;7393
4007;Yaesu FT-252;7393
4008;Yaesu FT-1900R;7393
4009;Yaesu FT-1907;7393
4010;Yaesu VX-3R;7393
4012;Радиал A0 UHF;
4013;Радиал A6 UHF;
4014;Радиал A10 UHF;
4015;Радиал D1 UHF;
4016;Радиал D2 UHF;
4017;Радиал D4 UHF;
4018;Радиал DP1 UHF;
4019;Радиал DP2 UHF;
4020;Радиал DP4 UHF;
4021;Радиал DM4 UHF;
4022;Радиал D8 UHF;
4023;Радиал А0 VHF;
4024;Радиал A5-UHF;
4025;Радиал A7 VHF;
4026;Радиал D1 VHF;
4027;Радиал D2 VHF;
4028;Радиал D4 VHF;
4029;Радиал D8 VHF;
4030;Радиал F1 VHF;
4031;Радиал F2 VHF;
4033;Fanvil F52;
4034;Fanvil D900;7393
4035;Fanvil C01;
4036;Fanvil C66;7393
4037;Fanvil D800;
4039;Grandstream GXP2160;
4040;Grandstream GXP2140;
4041;Grandstream GXP1160;7393
4042;Grandstream GXP1165;7393
4043;Grandstream GXP2200;
4046;Grandstream GXV-3175 v2;
4048;Kenwood TK-3000M;
4049;Kenwood TK-2000M;
4050;Kenwood TK-3301E;7393
4051;Kenwood TK-3407M2;
4052;Kenwood TK-3406M2;
4053;Kenwood TK-2407M;
4054;Kenwood TK-3307M2;
4055;Fanvil C56;
4056;Fanvil C58;7393
4069;Alinco DR-135T MKIII;
4070;Alinco DR-135FX;
4071;Alinco DR-135LH;
4074;Kenwood TK-2307;
4075;Kenwood TK-3317M2;
4076;Kenwood TK-2406M;
4077;Kenwood TK-2317M;
4078;Kenwood TK-3360M;
4080;Alinco DR-635T;
4081;Alinco DR-135CB;7393
4082;Fanvil C62;
4084;Fanvil D100;
4085;Fanvil HT101;
4087;Fanvil F52P;
4088;Fanvil C56P;
4089;Fanvil C58P;7393
4090;Fanvil C10;
4091;Grandstream UCM6102;
4092;Kenwood TK-2360M;
4093;Kenwood TK-3306NM;
4094;Kenwood TK-2306;
4095;Kenwood TK-3212M;
4096;Grandstream UCM6104;
4097;Kenwood TK-2212;
4098;Kenwood TK-3180E;
4099;Grandstream UCM6108;
4100;Grandstream GXV-3140 v2;
4101;Grandstream GXP-2124 v2;
4102;Grandstream DP-715;
4103;Kenwood TK-2180E;
4105;Kenwood TK-280K;
4106;Kenwood TK-2140;
4126;Escene ES620-PE;
4127;Escene ES410-PE;
4128;Escene ES330-PEN;
4129;Escene ES320-N;
4130;Escene ES320-PN;
4131;Escene ES292-N;
4132;Escene ES292-PN;
4133;Escene ES290-N;
4134;Escene ES290-PN;
4135;Escene ES220-N;
4136;Escene ES220-PN;
4137;Escene US102-YN;
4138;Escene US102-PYN;
4139;Escene CC800-N;
4140;Escene CC800-PN;
4141;Escene GS330-P;
4142;Escene GS320-P;
4145;Escene WS290-N;
4146;Escene ESM 32;
4147;Escene AD200;
4148;Escene AD300;
4150;Roger KP-14;7393
4164;Roger KP-15;7393
4166;Roger KP-16;7393
4168;Roger KP-23;7393
4170;Roger KP-47;7393
4171;Roger KP-55;
4173;Roger KP-60;
4191;Yealink SIP-T48G;11149
4207;Yaesu FTDX 3000D;7393
4211;Yaesu FTDX 1200;7393
4228;Yaesu MTU-80/40;
4229;Yaesu MTU 30/20;
4236;Ajetrays AR-440;
4239;Ajetrays AJ-144;7393
4244;Hytera X1e G;
4248;Hytera PD505 VHF;12512
4249;Hytera PD605 G (MD);12512
4252;Ajetrays AJ-344V;7393
4253;Ajetrays AJ-446;
4254;Ajetrays AJ-447;
4255;Ajetrays AJ-434;
4256;Ajetrays AJ-450;
4257;Ajetrays AJ-444;
4258;Ajetrays AJ-344U;
4259;Ajetrays AJBP-144L;
4262;Hytera RD625;
4263;Hytera RD985;
4266;Panasonic KX-NT321RU;
4267;Panasonic KX-NT400RU;
4268;Panasonic KX-NT366RU;
4269;Panasonic KX-NT346RU;7393
4271;Panasonic KX-NT343RU;
4273;Panasonic KX-NT700;
4274;Panasonic KX-NT305X;
4289;Milesight MS-C3366-VP;
4291;Milesight MS-C2662-FP;
4292;Milesight MS-C3372-VP;
4293;Milesight MS-C2681-P;
4294;Milesight MS-C3681-P;
4295;Milesight MS-C3682-P;
4296;Milesight MS-C2682-P;
4297;Milesight MS-C2663-P;
4298;Milesight MS-C3367-P;
4307;Panasonic KX-NCP1000RU;
4308;Panasonic KX-NCP500RU;7393
4309;Panasonic KX-TDE100RU;
4310;Panasonic KX-TDE200RU;
4312;Panasonic KX-TDE600RU;
4313;Panasonic KX-UT113RU-B;7393
4316;Panasonic KX-UT123RU-B;7393
4317;Panasonic KX-UT133RU-B;
4318;Panasonic KX-UT136RU-B;7393
4319;Panasonic KX-UT248RU-B;
4321;Panasonic KX-UT670RU;7393
4329;Ajetrays AJ-150;
4331;АРГУТ А-23 NEW;
4332;АРГУТ А-24 NEW;7393
4333;АРГУТ А-41 NEW;
4334;АРГУТ А-43;
4335;АРГУТ А-44;7393
4336;АРГУТ А-45;7393
4337;АРГУТ А-53;
4338;АРГУТ А-54;
4339;АРГУТ А-75;
4342;Midland G6XT;
4343;Midland GXT 650;
4344;Midland GXT 900;
4345;Midland GXT-1050;
4346;Midland G-3;
4347;Midland G-10;
4348;Midland G-14;
4353;Panasonic BL-VP101E;
4355;Panasonic BL-VP104E;
4356;Panasonic BL-VP104WE;
4357;Panasonic WV-SP102E;
4360;Panasonic WV-SP105E;
4361;Panasonic WV-NP502E;
4362;Panasonic WV-SP302E;
4363;Panasonic WV-SP305E;
4377;Panasonic WV-SP306E;
4378;Panasonic WV-SP508E;
4379;Panasonic WV-SP509E;
4380;Panasonic WV-SW316E;
4381;Panasonic WV-SW316LE;
4382;Panasonic WV-NW502SE;
4383;Panasonic WV-SF132E;
4384;Panasonic WV-SF135E;
4385;Panasonic WV-SF138;
4386;Panasonic WV-SF332E;
4387;Panasonic WV-SF335E;
4388;Panasonic WV-SF336E;
4389;Panasonic WV-SF342E;
4390;Panasonic WV-SF346E;
4391;Panasonic WV-SF438E;
4392;Panasonic WV-SF448E;
4393;Panasonic WV-SF538E;
4394;Panasonic WV-SF539E;
4395;Panasonic WV-SFN631L;
