IE_XML_ID|IE_NAME|IE_DETAIL_PICTURE
13155|Icom IC-FR5000C|/upload/iblock/b34/icom-ic_fr5000c.jpg
13157|Icom IC-FR6000C|/upload/iblock/38d/icom-ic_fr5000c.jpg
13201|Ajetrays GR8600|/upload/iblock/b8d/bez-nazvaniya.jpg
13335|Motorola SLR 1000|/upload/iblock/d3c/004.jpg
13480|Yaesu DR-1X|/upload/iblock/30e/dr_1x.jpg
13481|Yaesu DR-2X |/upload/iblock/1aa/dr_2x.jpg
13942|Alinco RS-D7|/upload/iblock/b2b/rs_d7_1.jpg
13943|Alinco RS-D8|/upload/iblock/cec/rs_d8_1.jpg
14033|Бизон KR100 50 Вт|/upload/iblock/180/kr100_2.png
14509|Caltta PR900|/upload/iblock/1f7/caltta-pr900.jpg
14511|Caltta PR800|/upload/iblock/af1/caltta-pr800.jpg
14709|Motorola SLR 5500 300-360 МГц|/upload/iblock/000/motorola-slr_5500.jpg
14710|Motorola SLR 5500 403-470 МГц|/upload/iblock/fdf/motorola-slr-5500.jpg
14720|Комбат T-440R DMR|/upload/iblock/a67/kombat-t440r.jpg
14722|Комбат Т-340R|/upload/iblock/ec9/kombat-t_340r.jpg
14841|Racio RD1000|/upload/iblock/f8b/retranslyator-racio-rd1000.jpg
15286|Бизон KR100P|/upload/iblock/686/bizon-kr100p.jpg
15290|Бизон KR100DS VHF/UHF|/upload/iblock/1eb/bizon-kr100ds.jpg
15291|Бизон KR100 25В|/upload/iblock/2e3/bizon-kr100-25v.jpg
15332|Vostok DR-600 DMR|/upload/iblock/743/vostok-dr_600-dmr-tier_2.jpg
15333|Vostok RT-10|/upload/iblock/122/vostok-rt_10.jpg
15393|Терек РТ-2800|/upload/iblock/f88/terek-rt_2800.jpg
15395|Терек РТ-9100|/upload/iblock/ea6/terek-rt_9100.jpg
15432|Аргут DR50-DMR VHF|/upload/iblock/fd8/argut-dr50_dmr-vhf.png
15434|Аргут DR50-DMR UHF|/upload/iblock/72b/argut-dr50_dmr-uhf.png
17250|Hytera RD985S 100W|/upload/iblock/aae/Hytera-RD985S-100W.JPG
3860|Yeastar MyPBX U520|/upload/iblock/17f/17f93617e2b915599f44f903bd921b3d.jpg
3865|Yeastar MyPBX U510|/upload/iblock/a40/a409d4193560df723a3f5dea1c68a84f.jpg
3866|Yeastar MyPBX U500|/upload/iblock/73d/73d48f4149c460a9e6e9f9cc27d861cc.jpg
3867|Yeastar MyPBX U300|/upload/iblock/9c8/9c829826619d694e90068217b8184d45.jpg
3868|Yeastar MyPBX U200|/upload/iblock/75a/75a156b32d4bff0cd9e0f3df5133351a.jpg
3869|Yeastar MyPBX U100|/upload/iblock/361/361c6ef0af9f9851d1a9b9337ba88430.jpg
3870|Yeastar MyPBX Standard|/upload/iblock/135/135f93414434a8e47512328d663e21b0.jpg
3871|Yeastar MyPBX SOHO|/upload/iblock/fab/fab0add6931abd2bf5efffb6eb514930.jpg
4091|Grandstream UCM6102|/upload/iblock/baf/baf9ea1a696f8a68e314a0eadff4598c.png
4096|Grandstream UCM6104|/upload/iblock/509/509d78517b38b9d714a8a874c58c69c8.png
4099|Grandstream UCM6108|/upload/iblock/d43/d43dd5d4eff6e040ff2f1af4b2bc483a.jpg
4307|Panasonic KX-NCP1000RU|/upload/iblock/49f/49f5407422251cdca4ed6d614be80d92.jpg
4308|Panasonic KX-NCP500RU|/upload/iblock/cbf/cbf2769b404486e54985cbc9336dad39.jpg
4309|Panasonic KX-TDE100RU|/upload/iblock/f5d/f5da52bd3dc14db18285e1ebd97f8728.jpg
4310|Panasonic KX-TDE200RU|/upload/iblock/17a/17a7e2aaff4f860b6d3ac8f2c8cbe628.jpg
4312|Panasonic KX-TDE600RU|/upload/iblock/c21/c2135f8de93f47c11f2d1e9b303b546e.jpg
4867|АГАТ UX-5111|/upload/iblock/3f4/3f4ba28396e2befb9399bff99e40a684.jpg
4868|АГАТ UX-5110/FXO4|/upload/iblock/158/1580ba5120461c0202d8ebaf71da26be.jpg
4997|АГАТ UX-3710|/upload/iblock/839/839cf13674fdff15dc268138df058eb4.jpg
4998|АГАТ UX-3730|/upload/iblock/6e4/6e4db88094520ac57bb3d0dfec66534c.jpg
4999|АГАТ UX-2211|/upload/iblock/66f/66f6b94e423544ecdfb2a9d1c5bea985.jpg
5002|АГАТ UX-3410|/upload/iblock/afe/afe841235048642651320b6ccb3f7e01.jpg
5003|АГАТ UX-3720|/upload/iblock/205/2053fc0a32bde7c950cf865fc09fe887.jpg
5004|АГАТ UX-3420|/upload/iblock/d8d/d8dc44c77e16c8db5b1b191cde954177.jpg
5009|АГАТ UX-3212|/upload/iblock/6e7/6e7a149c1ecb4ae6fa25b87cb4c1d658.jpg
5049|Zycoo CooVox U20-A202|/upload/iblock/ed7/ed7d30d90b62eb4d7e3c11d12cdc88f7.JPG
5050|Zycoo CooVox U20-A220|/upload/iblock/37d/37d1cc81b491a792fe10156ef24cac4c.JPG
6170|ERICSSON-LG SBG-1000.STG|/upload/iblock/478/47844693424c260625d57c4dff2b1800.jpg
6653|LG-Ericsson LIK-Micro|/upload/iblock/7e4/7e4edb26352b950ab37e5d713daaf97c.jpg
6654|LG-ERICSSON LIK-MFIM50A|/upload/iblock/d8c/d8c2b14fdc20345f05cbf1193ce91dd9.jpg
6655|LG-ERICSSON LIK-MFIM50B |/upload/iblock/a69/a69d054445dd2fb1c699748c9a5dbc3e.jpg
6656|LG-ERICSSON LIK-MFIM100|/upload/iblock/d18/d182ec129191e2ee8becbdbd0300bafe.jpg
6657|LG-ERICSSON LIK-MFIM300|/upload/iblock/0ca/0ca8e6b796732952ccf883fb9013cc8e.jpg
6658|LG-ERICSSON LIK-MFIM600|/upload/iblock/f68/f681b733c612341ca3fa20df07232aef.jpg
6659|LG-ERICSSON LIK-MFIM1200|/upload/iblock/d31/d311dd5cac43547da431412877c297ce.jpg
6807|LG-ERICSSON CM-S2K.STG|/upload/iblock/aff/aff474e8adc0a38c7fabce9e9ce72682.jpeg
6808|LG-ERICSSON CM-S1K.STG|/upload/iblock/2a2/2a2d242b3991f731d25b4e438ea3cf2c.jpeg
6811|LG-ERICSSON CM-MGC2.STG|/upload/iblock/bc1/bc1c8656ff4e855317c2c045fdcfa4c7.jpg
7189|Mocet IG7600|/upload/iblock/691/6916043cf9a014908ea7b6d694295c0f.jpg
7195|Atcom IP-2G4A|/upload/iblock/a31/a316fb04dc29ed554dc292eaf706263c.jpg
7196|Atcom IP-4G|/upload/iblock/544/544ec1bcdba1fce4beb187dcace28064.jpg
7197|Atcom IP01|/upload/iblock/5f8/5f84894c33975c7f998189fbd4783da2.jpg
7198|Atcom IP02|/upload/iblock/68c/68cc839bfd950b8f3a82ed566361f6c4.jpg
7199|Atcom IP08|/upload/iblock/37c/37c6ec3c81f901d1437874afd7ca21c9.jpg
